/opt/conda/envs/py_3.9/lib/python3.9/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
seed 43 idx 168292
epoch 1 train start...
iter 1000: train_loss: 0.07571, train_acc: 0.858
iter 2000: train_loss: 0.03904, train_acc: 0.943
iter 3000: train_loss: 0.03204, train_acc: 0.953
iter 4000: train_loss: 0.02894, train_acc: 0.957
iter 5000: train_loss: 0.02730, train_acc: 0.960
iter 6000: train_loss: 0.02440, train_acc: 0.964
iter 7000: train_loss: 0.02307, train_acc: 0.967
iter 8000: train_loss: 0.02080, train_acc: 0.970
iter 9000: train_loss: 0.01953, train_acc: 0.970
iter 10000: train_loss: 0.01894, train_acc: 0.970
iter 11000: train_loss: 0.01975, train_acc: 0.971
iter 12000: train_loss: 0.01728, train_acc: 0.975
iter 13000: train_loss: 0.01698, train_acc: 0.975
iter 14000: train_loss: 0.01593, train_acc: 0.974
iter 15000: train_loss: 0.01500, train_acc: 0.978
iter 16000: train_loss: 0.01512, train_acc: 0.977
iter 17000: train_loss: 0.01422, train_acc: 0.979
iter 18000: train_loss: 0.01494, train_acc: 0.977
iter 19000: train_loss: 0.01369, train_acc: 0.979
iter 20000: train_loss: 0.01435, train_acc: 0.978
iter 21000: train_loss: 0.01236, train_acc: 0.981
iter 22000: train_loss: 0.01332, train_acc: 0.979
iter 23000: train_loss: 0.01279, train_acc: 0.980
iter 24000: train_loss: 0.01367, train_acc: 0.979
iter 25000: train_loss: 0.01179, train_acc: 0.982
iter 26000: train_loss: 0.01200, train_acc: 0.981
iter 27000: train_loss: 0.01216, train_acc: 0.982
iter 28000: train_loss: 0.01225, train_acc: 0.981
iter 29000: train_loss: 0.01113, train_acc: 0.983
iter 30000: train_loss: 0.01188, train_acc: 0.982
iter 31000: train_loss: 0.01135, train_acc: 0.982
iter 31250: train_loss: 0.01004, train_acc: 0.985
codebert-c.pt checkpoint saved...
seed 43 idx 152346
epoch 2 train start...
iter 1000: train_loss: 0.00963, train_acc: 0.986
iter 2000: train_loss: 0.01157, train_acc: 0.984
iter 3000: train_loss: 0.01021, train_acc: 0.984
iter 4000: train_loss: 0.01064, train_acc: 0.984
iter 5000: train_loss: 0.01029, train_acc: 0.984
iter 6000: train_loss: 0.01162, train_acc: 0.982
iter 7000: train_loss: 0.01035, train_acc: 0.985
iter 8000: train_loss: 0.01073, train_acc: 0.984
iter 9000: train_loss: 0.01069, train_acc: 0.984
iter 10000: train_loss: 0.01003, train_acc: 0.985
iter 11000: train_loss: 0.00860, train_acc: 0.987
iter 12000: train_loss: 0.01007, train_acc: 0.984
iter 13000: train_loss: 0.00978, train_acc: 0.983
iter 14000: train_loss: 0.01031, train_acc: 0.984
iter 15000: train_loss: 0.00919, train_acc: 0.985
iter 16000: train_loss: 0.00994, train_acc: 0.984
iter 17000: train_loss: 0.00998, train_acc: 0.984
iter 18000: train_loss: 0.00854, train_acc: 0.986
iter 19000: train_loss: 0.01028, train_acc: 0.985
iter 20000: train_loss: 0.00975, train_acc: 0.985
iter 21000: train_loss: 0.00889, train_acc: 0.987
iter 22000: train_loss: 0.00959, train_acc: 0.985
iter 23000: train_loss: 0.00812, train_acc: 0.987
iter 24000: train_loss: 0.00958, train_acc: 0.985
iter 25000: train_loss: 0.00750, train_acc: 0.988
iter 26000: train_loss: 0.00897, train_acc: 0.987
iter 27000: train_loss: 0.00925, train_acc: 0.985
iter 28000: train_loss: 0.00888, train_acc: 0.986
iter 29000: train_loss: 0.00845, train_acc: 0.987
iter 30000: train_loss: 0.00919, train_acc: 0.987
iter 31000: train_loss: 0.00867, train_acc: 0.986
iter 31250: train_loss: 0.00765, train_acc: 0.987
codebert-c.pt checkpoint saved...
seed 43 idx 221373
epoch 3 train start...
iter 1000: train_loss: 0.00759, train_acc: 0.988
iter 2000: train_loss: 0.00846, train_acc: 0.986
iter 3000: train_loss: 0.00907, train_acc: 0.986
iter 4000: train_loss: 0.00850, train_acc: 0.986
iter 5000: train_loss: 0.00962, train_acc: 0.985
iter 6000: train_loss: 0.00864, train_acc: 0.987
iter 7000: train_loss: 0.00889, train_acc: 0.986
iter 8000: train_loss: 0.00867, train_acc: 0.987
iter 9000: train_loss: 0.00812, train_acc: 0.987
iter 10000: train_loss: 0.00860, train_acc: 0.987
iter 11000: train_loss: 0.00793, train_acc: 0.988
iter 12000: train_loss: 0.00725, train_acc: 0.989
iter 13000: train_loss: 0.00680, train_acc: 0.989
iter 14000: train_loss: 0.00759, train_acc: 0.989
iter 15000: train_loss: 0.00782, train_acc: 0.988
iter 16000: train_loss: 0.00833, train_acc: 0.987
iter 17000: train_loss: 0.00797, train_acc: 0.987
iter 18000: train_loss: 0.00785, train_acc: 0.987
iter 19000: train_loss: 0.00782, train_acc: 0.987
iter 20000: train_loss: 0.00787, train_acc: 0.988
iter 21000: train_loss: 0.00755, train_acc: 0.988
iter 22000: train_loss: 0.00867, train_acc: 0.988
iter 23000: train_loss: 0.00732, train_acc: 0.990
iter 24000: train_loss: 0.00735, train_acc: 0.989
iter 25000: train_loss: 0.00736, train_acc: 0.989
iter 26000: train_loss: 0.00758, train_acc: 0.988
iter 27000: train_loss: 0.00779, train_acc: 0.988
iter 28000: train_loss: 0.00752, train_acc: 0.988
iter 29000: train_loss: 0.00766, train_acc: 0.988
iter 30000: train_loss: 0.00795, train_acc: 0.987
iter 31000: train_loss: 0.00764, train_acc: 0.988
iter 31250: train_loss: 0.00742, train_acc: 0.990
codebert-c.pt checkpoint saved...
