/opt/conda/envs/py_3.9/lib/python3.9/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
seed 42 idx 38683
epoch 1 train start...
iter 1000: train_loss: 0.07340, train_acc: 0.861
iter 2000: train_loss: 0.03623, train_acc: 0.946
iter 3000: train_loss: 0.03034, train_acc: 0.955
iter 4000: train_loss: 0.02803, train_acc: 0.961
iter 5000: train_loss: 0.02485, train_acc: 0.965
iter 6000: train_loss: 0.02313, train_acc: 0.966
iter 7000: train_loss: 0.02023, train_acc: 0.971
iter 8000: train_loss: 0.02003, train_acc: 0.971
iter 9000: train_loss: 0.01917, train_acc: 0.972
iter 10000: train_loss: 0.01723, train_acc: 0.974
iter 11000: train_loss: 0.01801, train_acc: 0.975
iter 12000: train_loss: 0.01606, train_acc: 0.976
iter 13000: train_loss: 0.01589, train_acc: 0.978
iter 14000: train_loss: 0.01580, train_acc: 0.977
iter 15000: train_loss: 0.01572, train_acc: 0.978
iter 16000: train_loss: 0.01396, train_acc: 0.978
iter 17000: train_loss: 0.01325, train_acc: 0.980
iter 18000: train_loss: 0.01329, train_acc: 0.980
iter 19000: train_loss: 0.01276, train_acc: 0.981
iter 20000: train_loss: 0.01269, train_acc: 0.981
iter 21000: train_loss: 0.01312, train_acc: 0.980
iter 22000: train_loss: 0.01228, train_acc: 0.982
iter 23000: train_loss: 0.01272, train_acc: 0.982
iter 24000: train_loss: 0.01240, train_acc: 0.982
iter 25000: train_loss: 0.01121, train_acc: 0.983
iter 26000: train_loss: 0.01176, train_acc: 0.982
iter 27000: train_loss: 0.01067, train_acc: 0.984
iter 28000: train_loss: 0.01098, train_acc: 0.983
iter 29000: train_loss: 0.01116, train_acc: 0.984
iter 30000: train_loss: 0.01171, train_acc: 0.982
iter 31000: train_loss: 0.01045, train_acc: 0.984
iter 31250: train_loss: 0.00989, train_acc: 0.986
codebert-cpp.pt checkpoint saved...
seed 42 idx 225844
epoch 2 train start...
iter 1000: train_loss: 0.01065, train_acc: 0.984
iter 2000: train_loss: 0.00992, train_acc: 0.985
iter 3000: train_loss: 0.01043, train_acc: 0.983
iter 4000: train_loss: 0.01011, train_acc: 0.983
iter 5000: train_loss: 0.00995, train_acc: 0.984
iter 6000: train_loss: 0.01054, train_acc: 0.984
iter 7000: train_loss: 0.01048, train_acc: 0.985
iter 8000: train_loss: 0.00982, train_acc: 0.986
iter 9000: train_loss: 0.00877, train_acc: 0.986
iter 10000: train_loss: 0.01024, train_acc: 0.984
iter 11000: train_loss: 0.01006, train_acc: 0.985
iter 12000: train_loss: 0.01002, train_acc: 0.984
iter 13000: train_loss: 0.00854, train_acc: 0.987
iter 14000: train_loss: 0.00905, train_acc: 0.986
iter 15000: train_loss: 0.00968, train_acc: 0.986
iter 16000: train_loss: 0.00901, train_acc: 0.987
iter 17000: train_loss: 0.00868, train_acc: 0.986
iter 18000: train_loss: 0.00901, train_acc: 0.986
iter 19000: train_loss: 0.00934, train_acc: 0.986
iter 20000: train_loss: 0.00906, train_acc: 0.986
iter 21000: train_loss: 0.00861, train_acc: 0.987
iter 22000: train_loss: 0.00889, train_acc: 0.987
iter 23000: train_loss: 0.00920, train_acc: 0.986
iter 24000: train_loss: 0.00850, train_acc: 0.987
iter 25000: train_loss: 0.00870, train_acc: 0.987
iter 26000: train_loss: 0.00861, train_acc: 0.987
iter 27000: train_loss: 0.00789, train_acc: 0.987
iter 28000: train_loss: 0.00829, train_acc: 0.987
iter 29000: train_loss: 0.00832, train_acc: 0.987
iter 30000: train_loss: 0.00788, train_acc: 0.988
iter 31000: train_loss: 0.00795, train_acc: 0.987
iter 31250: train_loss: 0.00818, train_acc: 0.990
codebert-cpp.pt checkpoint saved...
seed 42 idx 178196
epoch 3 train start...
iter 1000: train_loss: 0.00829, train_acc: 0.987
iter 2000: train_loss: 0.00864, train_acc: 0.988
iter 3000: train_loss: 0.00727, train_acc: 0.989
iter 4000: train_loss: 0.00828, train_acc: 0.988
iter 5000: train_loss: 0.00761, train_acc: 0.987
iter 6000: train_loss: 0.00754, train_acc: 0.989
iter 7000: train_loss: 0.00743, train_acc: 0.988
iter 8000: train_loss: 0.00767, train_acc: 0.988
iter 9000: train_loss: 0.00795, train_acc: 0.988
iter 10000: train_loss: 0.00813, train_acc: 0.988
iter 11000: train_loss: 0.00782, train_acc: 0.987
iter 12000: train_loss: 0.00796, train_acc: 0.988
iter 13000: train_loss: 0.00712, train_acc: 0.990
iter 14000: train_loss: 0.00784, train_acc: 0.988
iter 15000: train_loss: 0.00803, train_acc: 0.987
iter 16000: train_loss: 0.00696, train_acc: 0.989
iter 17000: train_loss: 0.00751, train_acc: 0.988
iter 18000: train_loss: 0.00805, train_acc: 0.987
iter 19000: train_loss: 0.00695, train_acc: 0.989
iter 20000: train_loss: 0.00715, train_acc: 0.988
iter 21000: train_loss: 0.00761, train_acc: 0.989
iter 22000: train_loss: 0.00766, train_acc: 0.988
iter 23000: train_loss: 0.00667, train_acc: 0.989
iter 24000: train_loss: 0.00712, train_acc: 0.989
iter 25000: train_loss: 0.00721, train_acc: 0.989
iter 26000: train_loss: 0.00625, train_acc: 0.990
iter 27000: train_loss: 0.00721, train_acc: 0.990
iter 28000: train_loss: 0.00683, train_acc: 0.989
iter 29000: train_loss: 0.00681, train_acc: 0.990
iter 30000: train_loss: 0.00686, train_acc: 0.989
iter 31000: train_loss: 0.00736, train_acc: 0.989
iter 31250: train_loss: 0.00600, train_acc: 0.990
codebert-cpp.pt checkpoint saved...
