/opt/conda/envs/py_3.9/lib/python3.9/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
seed 44 idx 166867
epoch 1 train start...
iter 1000: train_loss: 0.07689, train_acc: 0.859
iter 2000: train_loss: 0.03896, train_acc: 0.943
iter 3000: train_loss: 0.03415, train_acc: 0.949
iter 4000: train_loss: 0.02883, train_acc: 0.959
iter 5000: train_loss: 0.02726, train_acc: 0.960
iter 6000: train_loss: 0.02523, train_acc: 0.961
iter 7000: train_loss: 0.02400, train_acc: 0.965
iter 8000: train_loss: 0.02022, train_acc: 0.971
iter 9000: train_loss: 0.02114, train_acc: 0.967
iter 10000: train_loss: 0.02017, train_acc: 0.970
iter 11000: train_loss: 0.01931, train_acc: 0.971
iter 12000: train_loss: 0.01739, train_acc: 0.974
iter 13000: train_loss: 0.01745, train_acc: 0.973
iter 14000: train_loss: 0.01706, train_acc: 0.975
iter 15000: train_loss: 0.01572, train_acc: 0.978
iter 16000: train_loss: 0.01558, train_acc: 0.978
iter 17000: train_loss: 0.01627, train_acc: 0.976
iter 18000: train_loss: 0.01503, train_acc: 0.976
iter 19000: train_loss: 0.01527, train_acc: 0.977
iter 20000: train_loss: 0.01385, train_acc: 0.980
iter 21000: train_loss: 0.01320, train_acc: 0.980
iter 22000: train_loss: 0.01374, train_acc: 0.980
iter 23000: train_loss: 0.01286, train_acc: 0.982
iter 24000: train_loss: 0.01328, train_acc: 0.980
iter 25000: train_loss: 0.01290, train_acc: 0.981
iter 26000: train_loss: 0.01219, train_acc: 0.981
iter 27000: train_loss: 0.01195, train_acc: 0.981
iter 28000: train_loss: 0.01139, train_acc: 0.982
iter 29000: train_loss: 0.01252, train_acc: 0.981
iter 30000: train_loss: 0.01221, train_acc: 0.981
iter 31000: train_loss: 0.01172, train_acc: 0.982
iter 31250: train_loss: 0.01269, train_acc: 0.980
graphcodebert-c.pt checkpoint saved...
seed 44 idx 165143
epoch 2 train start...
iter 1000: train_loss: 0.01114, train_acc: 0.983
iter 2000: train_loss: 0.01155, train_acc: 0.983
iter 3000: train_loss: 0.01074, train_acc: 0.984
iter 4000: train_loss: 0.01056, train_acc: 0.983
iter 5000: train_loss: 0.01107, train_acc: 0.984
iter 6000: train_loss: 0.01098, train_acc: 0.983
iter 7000: train_loss: 0.01094, train_acc: 0.983
iter 8000: train_loss: 0.01031, train_acc: 0.984
iter 9000: train_loss: 0.01012, train_acc: 0.984
iter 10000: train_loss: 0.01009, train_acc: 0.985
iter 11000: train_loss: 0.01065, train_acc: 0.985
iter 12000: train_loss: 0.01026, train_acc: 0.985
iter 13000: train_loss: 0.00854, train_acc: 0.987
iter 14000: train_loss: 0.00936, train_acc: 0.986
iter 15000: train_loss: 0.00930, train_acc: 0.987
iter 16000: train_loss: 0.01021, train_acc: 0.984
iter 17000: train_loss: 0.00999, train_acc: 0.984
iter 18000: train_loss: 0.00862, train_acc: 0.986
iter 19000: train_loss: 0.01020, train_acc: 0.984
iter 20000: train_loss: 0.00933, train_acc: 0.985
iter 21000: train_loss: 0.00823, train_acc: 0.988
iter 22000: train_loss: 0.00850, train_acc: 0.988
iter 23000: train_loss: 0.00868, train_acc: 0.987
iter 24000: train_loss: 0.00896, train_acc: 0.985
iter 25000: train_loss: 0.00934, train_acc: 0.985
iter 26000: train_loss: 0.00949, train_acc: 0.986
iter 27000: train_loss: 0.00891, train_acc: 0.986
iter 28000: train_loss: 0.00846, train_acc: 0.986
